strategy,droneCount,maxAngle,droneID,timeStamp,x,y
decentralizedWeighted,20,45.0,33957086769,5466,-92.5074234008789,-61.2621002197266
decentralizedWeighted,20,45.0,34141636156,5466,-191.424285888672,-28.650785446167
decentralizedWeighted,20,45.0,34326185543,5466,-67.5764312744141,-58.075309753418
decentralizedWeighted,20,45.0,34510734930,5466,-80.741569519043,84.9916458129883
decentralizedWeighted,20,45.0,34695284317,5466,-147.419052124023,88.8484878540039
decentralizedWeighted,20,45.0,34879833704,5466,-144.938491821289,50.6376304626465
decentralizedWeighted,20,45.0,35064383091,5466,-113.859580993652,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,5466,-51.5005302429199,-81.167610168457
decentralizedWeighted,20,45.0,35433481865,5466,-158.792297363281,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,5566,-131.696136474609,-44.0451393127441
decentralizedWeighted,20,45.0,32111592899,5566,-76.3759613037109,63.5505561828613
decentralizedWeighted,20,45.0,32296142286,5566,-119.251289367676,-74.2832565307617
decentralizedWeighted,20,45.0,32480691673,5566,-36.3036766052246,32.6361961364746
decentralizedWeighted,20,45.0,32665241060,5566,-51.3986015319824,64.3993148803711
decentralizedWeighted,20,45.0,32849790447,5566,-109.608062744141,75.9984130859375
decentralizedWeighted,20,45.0,33034339834,5566,-162.757797241211,-39.1818161010742
decentralizedWeighted,20,45.0,33218889221,5566,-133.357604980469,30.08762550354
decentralizedWeighted,20,45.0,33403438608,5566,-95.7322082519531,-2.06992816925049
decentralizedWeighted,20,45.0,33587987995,5566,-111.69172668457,13.2589378356934
decentralizedWeighted,20,45.0,33772537382,5566,-111.363433837891,-54.9917945861816
decentralizedWeighted,20,45.0,33957086769,5566,-92.5074234008789,-66.2621002197266
decentralizedWeighted,20,45.0,34141636156,5566,-191.424285888672,-23.6507816314697
decentralizedWeighted,20,45.0,34326185543,5566,-62.5764236450195,-58.075309753418
decentralizedWeighted,20,45.0,34510734930,5566,-75.7415542602539,84.9916458129883
decentralizedWeighted,20,45.0,34695284317,5566,-142.419082641602,88.8484878540039
decentralizedWeighted,20,45.0,34879833704,5566,-139.938522338867,50.6376304626465
decentralizedWeighted,20,45.0,35064383091,5566,-108.859565734863,97.8720855712891
decentralizedWeighted,20,45.0,35248932478,5566,-51.5005302429199,-86.1676254272461
decentralizedWeighted,20,45.0,35433481865,5566,-153.792327880859,-73.2287139892578
decentralizedWeighted,20,45.0,31927043512,5667,-131.696136474609,-39.0451469421387
